ID	Locale	Value	"Scientific Notation"
264	arn_CL	1E3	true
265	arn_CL	1,000	false
266	arn_CL	-2E3	true
267	arn_CL	-2,000	false
268	arn_CL	3.98E2	true
269	arn_CL	398	false
270	arn_CL	4E-2	true
271	arn_CL	0.04	false
272	arn_CL	-5E-1	true
273	arn_CL	-0.5	false
274	arn_CL	6E-1	true
275	arn_CL	0.6	false
276	arn_CL	-7E-1	true
277	arn_CL	-0.7	false
278	arn_CL	8E10	true
279	arn_CL	80,000,000,000	false
280	arn_CL	-9.3456E-2	true
281	arn_CL	-0.093	false
282	arn_CL	1.023E7	true
283	arn_CL	10,230,000	false
284	arn_CL	1.23123456789099E2	true
285	arn_CL	123.123	false
286	ar_OM	١اس٣	true
287	ar_OM	١٬٠٠٠	false
288	ar_OM	‏-٢اس٣	true
289	ar_OM	‏-٢٬٠٠٠	false
290	ar_OM	٣٫٩٨اس٢	true
291	ar_OM	٣٩٨	false
292	ar_OM	٤اس‏-٢	true
293	ar_OM	٠٫٠٤	false
294	ar_OM	‏-٥اس‏-١	true
295	ar_OM	‏-٠٫٥	false
296	ar_OM	٦اس‏-١	true
297	ar_OM	٠٫٦	false
298	ar_OM	‏-٧اس‏-١	true
299	ar_OM	‏-٠٫٧	false
300	ar_OM	٨اس١٠	true
301	ar_OM	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
302	ar_OM	‏-٩٫٣٤٥٦اس‏-٢	true
303	ar_OM	‏-٠٫٠٩٣	false
304	ar_OM	١٫٠٢٣اس٧	true
305	ar_OM	١٠٬٢٣٠٬٠٠٠	false
306	ar_OM	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
307	ar_OM	١٢٣٫١٢٣	false
308	ar_QA	١اس٣	true
309	ar_QA	١٬٠٠٠	false
310	ar_QA	‏-٢اس٣	true
311	ar_QA	‏-٢٬٠٠٠	false
312	ar_QA	٣٫٩٨اس٢	true
313	ar_QA	٣٩٨	false
314	ar_QA	٤اس‏-٢	true
315	ar_QA	٠٫٠٤	false
316	ar_QA	‏-٥اس‏-١	true
317	ar_QA	‏-٠٫٥	false
318	ar_QA	٦اس‏-١	true
319	ar_QA	٠٫٦	false
320	ar_QA	‏-٧اس‏-١	true
321	ar_QA	‏-٠٫٧	false
322	ar_QA	٨اس١٠	true
323	ar_QA	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
324	ar_QA	‏-٩٫٣٤٥٦اس‏-٢	true
325	ar_QA	‏-٠٫٠٩٣	false
326	ar_QA	١٫٠٢٣اس٧	true
327	ar_QA	١٠٬٢٣٠٬٠٠٠	false
328	ar_QA	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
329	ar_QA	١٢٣٫١٢٣	false
330	ar_SA	١اس٣	true
331	ar_SA	١٬٠٠٠	false
332	ar_SA	‏-٢اس٣	true
333	ar_SA	‏-٢٬٠٠٠	false
334	ar_SA	٣٫٩٨اس٢	true
335	ar_SA	٣٩٨	false
336	ar_SA	٤اس‏-٢	true
337	ar_SA	٠٫٠٤	false
338	ar_SA	‏-٥اس‏-١	true
339	ar_SA	‏-٠٫٥	false
340	ar_SA	٦اس‏-١	true
341	ar_SA	٠٫٦	false
342	ar_SA	‏-٧اس‏-١	true
343	ar_SA	‏-٠٫٧	false
344	ar_SA	٨اس١٠	true
345	ar_SA	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
346	ar_SA	‏-٩٫٣٤٥٦اس‏-٢	true
347	ar_SA	‏-٠٫٠٩٣	false
348	ar_SA	١٫٠٢٣اس٧	true
349	ar_SA	١٠٬٢٣٠٬٠٠٠	false
350	ar_SA	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
351	ar_SA	١٢٣٫١٢٣	false
352	ar_SY	١اس٣	true
353	ar_SY	١٬٠٠٠	false
354	ar_SY	‏-٢اس٣	true
355	ar_SY	‏-٢٬٠٠٠	false
356	ar_SY	٣٫٩٨اس٢	true
357	ar_SY	٣٩٨	false
358	ar_SY	٤اس‏-٢	true
359	ar_SY	٠٫٠٤	false
360	ar_SY	‏-٥اس‏-١	true
361	ar_SY	‏-٠٫٥	false
362	ar_SY	٦اس‏-١	true
363	ar_SY	٠٫٦	false
364	ar_SY	‏-٧اس‏-١	true
365	ar_SY	‏-٠٫٧	false
366	ar_SY	٨اس١٠	true
367	ar_SY	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
368	ar_SY	‏-٩٫٣٤٥٦اس‏-٢	true
369	ar_SY	‏-٠٫٠٩٣	false
370	ar_SY	١٫٠٢٣اس٧	true
371	ar_SY	١٠٬٢٣٠٬٠٠٠	false
372	ar_SY	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
373	ar_SY	١٢٣٫١٢٣	false
374	ar_TN	1E3	true
375	ar_TN	1.000	false
376	ar_TN	‎-2E3	true
377	ar_TN	‎-2.000	false
378	ar_TN	3,98E2	true
379	ar_TN	398	false
380	ar_TN	4E‎-2	true
381	ar_TN	0,04	false
382	ar_TN	‎-5E‎-1	true
383	ar_TN	‎-0,5	false
384	ar_TN	6E‎-1	true
385	ar_TN	0,6	false
386	ar_TN	‎-7E‎-1	true
387	ar_TN	‎-0,7	false
388	ar_TN	8E10	true
389	ar_TN	80.000.000.000	false
390	ar_TN	‎-9,3456E‎-2	true
391	ar_TN	‎-0,093	false
392	ar_TN	1,023E7	true
393	ar_TN	10.230.000	false
394	ar_TN	1,23123456789099E2	true
395	ar_TN	123,123	false
396	ar_YE	١اس٣	true
397	ar_YE	١٬٠٠٠	false
398	ar_YE	‏-٢اس٣	true
399	ar_YE	‏-٢٬٠٠٠	false
400	ar_YE	٣٫٩٨اس٢	true
401	ar_YE	٣٩٨	false
402	ar_YE	٤اس‏-٢	true
403	ar_YE	٠٫٠٤	false
404	ar_YE	‏-٥اس‏-١	true
405	ar_YE	‏-٠٫٥	false
406	ar_YE	٦اس‏-١	true
407	ar_YE	٠٫٦	false
408	ar_YE	‏-٧اس‏-١	true
409	ar_YE	‏-٠٫٧	false
410	ar_YE	٨اس١٠	true
411	ar_YE	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
412	ar_YE	‏-٩٫٣٤٥٦اس‏-٢	true
413	ar_YE	‏-٠٫٠٩٣	false
414	ar_YE	١٫٠٢٣اس٧	true
415	ar_YE	١٠٬٢٣٠٬٠٠٠	false
416	ar_YE	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
417	ar_YE	١٢٣٫١٢٣	false
418	as_IN	১E৩	true
419	as_IN	১,০০০	false
420	as_IN	-২E৩	true
421	as_IN	-২,০০০	false
422	as_IN	৩.৯৮E২	true
423	as_IN	৩৯৮	false
424	as_IN	৪E-২	true
425	as_IN	০.০৪	false
426	as_IN	-৫E-১	true
427	as_IN	-০.৫	false
428	as_IN	৬E-১	true
429	as_IN	০.৬	false
430	as_IN	-৭E-১	true
431	as_IN	-০.৭	false
432	as_IN	৮E১০	true
433	as_IN	৮০,০০,০০,০০,০০০	false
434	as_IN	-৯.৩৪৫৬E-২	true
435	as_IN	-০.০৯৩	false
436	as_IN	১.০২৩E৭	true
437	as_IN	১,০২,৩০,০০০	false
438	as_IN	১.২৩১২৩৪৫৬৭৮৯০৯৯E২	true
439	as_IN	১২৩.১২৩	false
440	az_Cyrl_AZ	1E3	true
441	az_Cyrl_AZ	1.000	false
442	az_Cyrl_AZ	-2E3	true
443	az_Cyrl_AZ	-2.000	false
444	az_Cyrl_AZ	3,98E2	true
445	az_Cyrl_AZ	398	false
446	az_Cyrl_AZ	4E-2	true
447	az_Cyrl_AZ	0,04	false
448	az_Cyrl_AZ	-5E-1	true
449	az_Cyrl_AZ	-0,5	false
450	az_Cyrl_AZ	6E-1	true
451	az_Cyrl_AZ	0,6	false
452	az_Cyrl_AZ	-7E-1	true
453	az_Cyrl_AZ	-0,7	false
454	az_Cyrl_AZ	8E10	true
455	az_Cyrl_AZ	80.000.000.000	false
456	az_Cyrl_AZ	-9,3456E-2	true
457	az_Cyrl_AZ	-0,093	false
458	az_Cyrl_AZ	1,023E7	true
459	az_Cyrl_AZ	10.230.000	false
460	az_Cyrl_AZ	1,23123456789099E2	true
461	az_Cyrl_AZ	123,123	false
462	az_Latn_AZ	1E3	true
463	az_Latn_AZ	1.000	false
464	az_Latn_AZ	-2E3	true
465	az_Latn_AZ	-2.000	false
466	az_Latn_AZ	3,98E2	true
467	az_Latn_AZ	398	false
468	az_Latn_AZ	4E-2	true
469	az_Latn_AZ	0,04	false
470	az_Latn_AZ	-5E-1	true
471	az_Latn_AZ	-0,5	false
472	az_Latn_AZ	6E-1	true
473	az_Latn_AZ	0,6	false
474	az_Latn_AZ	-7E-1	true
475	az_Latn_AZ	-0,7	false
476	az_Latn_AZ	8E10	true
477	az_Latn_AZ	80.000.000.000	false
478	az_Latn_AZ	-9,3456E-2	true
479	az_Latn_AZ	-0,093	false
480	az_Latn_AZ	1,023E7	true
481	az_Latn_AZ	10.230.000	false
482	az_Latn_AZ	1,23123456789099E2	true
483	az_Latn_AZ	123,123	false
484	ba_RU	1E3	true
485	ba_RU	1,000	false
486	ba_RU	-2E3	true
487	ba_RU	-2,000	false
488	ba_RU	3.98E2	true
489	ba_RU	398	false
490	ba_RU	4E-2	true
491	ba_RU	0.04	false
492	ba_RU	-5E-1	true
493	ba_RU	-0.5	false
494	ba_RU	6E-1	true
495	ba_RU	0.6	false
496	ba_RU	-7E-1	true
497	ba_RU	-0.7	false
498	ba_RU	8E10	true
499	ba_RU	80,000,000,000	false
500	ba_RU	-9.3456E-2	true
501	ba_RU	-0.093	false
502	ba_RU	1.023E7	true
503	ba_RU	10,230,000	false
504	ba_RU	1.23123456789099E2	true
505	ba_RU	123.123	false
506	be_BY	1E3	true
507	be_BY	1 000	false
508	be_BY	-2E3	true
509	be_BY	-2 000	false
510	be_BY	3,98E2	true
511	be_BY	398	false
512	be_BY	4E-2	true
513	be_BY	0,04	false
514	be_BY	-5E-1	true
515	be_BY	-0,5	false
516	be_BY	6E-1	true
517	be_BY	0,6	false
518	be_BY	-7E-1	true
519	be_BY	-0,7	false
520	be_BY	8E10	true
521	be_BY	80 000 000 000	false
522	be_BY	-9,3456E-2	true
523	be_BY	-0,093	false
524	be_BY	1,023E7	true
525	be_BY	10 230 000	false
526	be_BY	1,23123456789099E2	true
527	be_BY	123,123	false
528	bg_BG	1E3	true
529	bg_BG	1 000	false
530	bg_BG	-2E3	true
531	bg_BG	-2 000	false
532	bg_BG	3,98E2	true
533	bg_BG	398	false
534	bg_BG	4E-2	true
535	bg_BG	0,04	false
536	bg_BG	-5E-1	true
537	bg_BG	-0,5	false
538	bg_BG	6E-1	true
539	bg_BG	0,6	false
540	bg_BG	-7E-1	true
541	bg_BG	-0,7	false
542	bg_BG	8E10	true
543	bg_BG	80 000 000 000	false
544	bg_BG	-9,3456E-2	true
545	bg_BG	-0,093	false
546	bg_BG	1,023E7	true
547	bg_BG	10 230 000	false
548	bg_BG	1,23123456789099E2	true
549	bg_BG	123,123	false
550	bn_BD	১E৩	true
551	bn_BD	১,০০০	false
552	bn_BD	-২E৩	true
553	bn_BD	-২,০০০	false
554	bn_BD	৩.৯৮E২	true
555	bn_BD	৩৯৮	false
556	bn_BD	৪E-২	true
557	bn_BD	০.০৪	false
558	bn_BD	-৫E-১	true
559	bn_BD	-০.৫	false
560	bn_BD	৬E-১	true
561	bn_BD	০.৬	false
562	bn_BD	-৭E-১	true
563	bn_BD	-০.৭	false
564	bn_BD	৮E১০	true
565	bn_BD	৮০,০০,০০,০০,০০০	false
566	bn_BD	-৯.৩৪৫৬E-২	true
567	bn_BD	-০.০৯৩	false
568	bn_BD	১.০২৩E৭	true
569	bn_BD	১,০২,৩০,০০০	false
570	bn_BD	১.২৩১২৩৪৫৬৭৮৯০৯৯E২	true
571	bn_BD	১২৩.১২৩	false
572	bn_IN	১E৩	true
573	bn_IN	১,০০০	false
574	bn_IN	-২E৩	true
575	bn_IN	-২,০০০	false
576	bn_IN	৩.৯৮E২	true
577	bn_IN	৩৯৮	false
578	bn_IN	৪E-২	true
579	bn_IN	০.০৪	false
580	bn_IN	-৫E-১	true
581	bn_IN	-০.৫	false
582	bn_IN	৬E-১	true
583	bn_IN	০.৬	false
584	bn_IN	-৭E-১	true
585	bn_IN	-০.৭	false
586	bn_IN	৮E১০	true
587	bn_IN	৮০,০০,০০,০০,০০০	false
588	bn_IN	-৯.৩৪৫৬E-২	true
589	bn_IN	-০.০৯৩	false
590	bn_IN	১.০২৩E৭	true
591	bn_IN	১,০২,৩০,০০০	false
592	bn_IN	১.২৩১২৩৪৫৬৭৮৯০৯৯E২	true
593	bn_IN	১২৩.১২৩	false
594	bo_CN	1E3	true
595	bo_CN	1,000	false
596	bo_CN	-2E3	true
597	bo_CN	-2,000	false
598	bo_CN	3.98E2	true
599	bo_CN	398	false
600	bo_CN	4E-2	true
601	bo_CN	0.04	false
602	bo_CN	-5E-1	true
603	bo_CN	-0.5	false
604	bo_CN	6E-1	true
605	bo_CN	0.6	false
606	bo_CN	-7E-1	true
607	bo_CN	-0.7	false
608	bo_CN	8E10	true
609	bo_CN	80,000,000,000	false
610	bo_CN	-9.3456E-2	true
611	bo_CN	-0.093	false
612	bo_CN	1.023E7	true
613	bo_CN	10,230,000	false
614	bo_CN	1.23123456789099E2	true
615	bo_CN	123.123	false
616	br_FR	1E3	true
617	br_FR	1 000	false
618	br_FR	-2E3	true
619	br_FR	-2 000	false
620	br_FR	3,98E2	true
621	br_FR	398	false
622	br_FR	4E-2	true
623	br_FR	0,04	false
624	br_FR	-5E-1	true
625	br_FR	-0,5	false
626	br_FR	6E-1	true
627	br_FR	0,6	false
628	br_FR	-7E-1	true
629	br_FR	-0,7	false
630	br_FR	8E10	true
631	br_FR	80 000 000 000	false
632	br_FR	-9,3456E-2	true
633	br_FR	-0,093	false
634	br_FR	1,023E7	true
635	br_FR	10 230 000	false
636	br_FR	1,23123456789099E2	true
637	br_FR	123,123	false
638	bs_Cyrl_BA	1E3	true
639	bs_Cyrl_BA	1.000	false
640	bs_Cyrl_BA	-2E3	true
641	bs_Cyrl_BA	-2.000	false
642	bs_Cyrl_BA	3,98E2	true
643	bs_Cyrl_BA	398	false
644	bs_Cyrl_BA	4E-2	true
645	bs_Cyrl_BA	0,04	false
646	bs_Cyrl_BA	-5E-1	true
647	bs_Cyrl_BA	-0,5	false
648	bs_Cyrl_BA	6E-1	true
649	bs_Cyrl_BA	0,6	false
650	bs_Cyrl_BA	-7E-1	true
651	bs_Cyrl_BA	-0,7	false
652	bs_Cyrl_BA	8E10	true
653	bs_Cyrl_BA	80.000.000.000	false
654	bs_Cyrl_BA	-9,3456E-2	true
655	bs_Cyrl_BA	-0,093	false
656	bs_Cyrl_BA	1,023E7	true
657	bs_Cyrl_BA	10.230.000	false
658	bs_Cyrl_BA	1,23123456789099E2	true
659	bs_Cyrl_BA	123,123	false
660	bs_Latn_BA	1E3	true
661	bs_Latn_BA	1.000	false
662	bs_Latn_BA	-2E3	true
663	bs_Latn_BA	-2.000	false
664	bs_Latn_BA	3,98E2	true
665	bs_Latn_BA	398	false
666	bs_Latn_BA	4E-2	true
667	bs_Latn_BA	0,04	false
668	bs_Latn_BA	-5E-1	true
669	bs_Latn_BA	-0,5	false
670	bs_Latn_BA	6E-1	true
671	bs_Latn_BA	0,6	false
672	bs_Latn_BA	-7E-1	true
673	bs_Latn_BA	-0,7	false
674	bs_Latn_BA	8E10	true
675	bs_Latn_BA	80.000.000.000	false
676	bs_Latn_BA	-9,3456E-2	true
677	bs_Latn_BA	-0,093	false
678	bs_Latn_BA	1,023E7	true
679	bs_Latn_BA	10.230.000	false
680	bs_Latn_BA	1,23123456789099E2	true
681	bs_Latn_BA	123,123	false
682	ca_ES	1E3	true
683	ca_ES	1.000	false
684	ca_ES	-2E3	true
685	ca_ES	-2.000	false
686	ca_ES	3,98E2	true
687	ca_ES	398	false
688	ca_ES	4E-2	true
689	ca_ES	0,04	false
690	ca_ES	-5E-1	true
691	ca_ES	-0,5	false
692	ca_ES	6E-1	true
693	ca_ES	0,6	false
694	ca_ES	-7E-1	true
695	ca_ES	-0,7	false
696	ca_ES	8E10	true
697	ca_ES	80.000.000.000	false
698	ca_ES	-9,3456E-2	true
699	ca_ES	-0,093	false
700	ca_ES	1,023E7	true
701	ca_ES	10.230.000	false
702	ca_ES	1,23123456789099E2	true
703	ca_ES	123,123	false
704	co_FR	1E3	true
705	co_FR	1,000	false
706	co_FR	-2E3	true
707	co_FR	-2,000	false
708	co_FR	3.98E2	true
709	co_FR	398	false
710	co_FR	4E-2	true
711	co_FR	0.04	false
712	co_FR	-5E-1	true
713	co_FR	-0.5	false
714	co_FR	6E-1	true
715	co_FR	0.6	false
716	co_FR	-7E-1	true
717	co_FR	-0.7	false
718	co_FR	8E10	true
719	co_FR	80,000,000,000	false
720	co_FR	-9.3456E-2	true
721	co_FR	-0.093	false
722	co_FR	1.023E7	true
