ID	Locale	"Fraction digits check"	"Currency symbol check"	Currency	"Uncurrency filter result"	Filtered
158	af_ZA	N	Y	-R0,010	-0.01	Y
159	af_ZA	Y	Y	-0,010	-0,010	N
160	af_ZA	Y	N	-0,010	-0,010	N
161	af_ZA	N	N	-0,010	-0.01	Y
162	af_ZA	N	Y	-0,010	-0,010	N
163	af_ZA	Y	Y	-R0,01	-0.01	Y
164	af_ZA	Y	Y	-ZAR0,01	-0.01	Y
165	af_ZA	Y	Y	-ZAR0,01S	-ZAR0,01S	N
166	af_ZA	Y	Y	-0,01	-0,01	N
167	af_ZA	Y	N	-0,01	-0.01	Y
168	af_ZA	Y	Y	-R1E-2	-R1E-2	N
169	af_ZA	Y	N	-R1E-2	-R1E-2	N
170	af_ZA	Y	Y	-R1 000,00	-1000	Y
171	af_ZA	Y	Y	-R1000,00	-1000	Y
172	af_ZA	Y	Y	-ZAR1 000,00	-1000	Y
173	af_ZA	Y	Y	-ZAR1000,00	-1000	Y
174	af_ZA	Y	Y	-ZAR1000,00S	-ZAR1000,00S	N
175	af_ZA	Y	Y	-1 000,00	-1 000,00	N
176	af_ZA	Y	N	-1 000,00	-1000	Y
177	af_ZA	Y	Y	-R1E3	-R1E3	N
178	af_ZA	Y	N	-R1E3	-R1E3	N
179	af_ZA	Y	Y	-R1 234,6	-R1 234,6	N
180	af_ZA	Y	N	-R1 234,6	-R1 234,6	N
181	af_ZA	N	N	-R1 234,6	-1234.6	Y
182	af_ZA	N	Y	-R1 234,6	-1234.6	Y
183	af_ZA	Y	Y	-1 234,6	-1 234,6	N
184	af_ZA	Y	N	-1 234,6	-1 234,6	N
185	af_ZA	N	N	-1 234,6	-1234.6	Y
186	af_ZA	N	Y	-1 234,6	-1 234,6	N
187	af_ZA	Y	Y	-R1 234,610	-R1 234,610	N
188	af_ZA	Y	N	-R1 234,610	-R1 234,610	N
189	af_ZA	N	N	-R1 234,610	-1234.61	Y
190	af_ZA	N	Y	-R1 234,610	-1234.61	Y
191	af_ZA	Y	Y	-1 234,610	-1 234,610	N
192	af_ZA	Y	N	-1 234,610	-1 234,610	N
193	af_ZA	N	N	-1 234,610	-1234.61	Y
194	af_ZA	N	Y	-1 234,610	-1 234,610	N
195	af_ZA	Y	Y	-R1 234,61	-1234.61	Y
196	af_ZA	Y	Y	-R1234,61	-1234.61	Y
197	af_ZA	Y	Y	-ZAR1 234,61	-1234.61	Y
198	af_ZA	Y	Y	-ZAR1234,61	-1234.61	Y
199	af_ZA	Y	Y	-ZAR1234,61S	-ZAR1234,61S	N
200	af_ZA	Y	Y	-1 234,61	-1 234,61	N
201	af_ZA	Y	N	-1 234,61	-1234.61	Y
202	af_ZA	Y	Y	-R1,23461E3	-R1,23461E3	N
203	af_ZA	Y	N	-R1,23461E3	-R1,23461E3	N
204	af_ZA	Y	Y	-R12 345 678,9	-R12 345 678,9	N
205	af_ZA	Y	N	-R12 345 678,9	-R12 345 678,9	N
206	af_ZA	N	N	-R12 345 678,9	-12345678.9	Y
207	af_ZA	N	Y	-R12 345 678,9	-12345678.9	Y
208	af_ZA	Y	Y	-12 345 678,9	-12 345 678,9	N
209	af_ZA	Y	N	-12 345 678,9	-12 345 678,9	N
210	af_ZA	N	N	-12 345 678,9	-12345678.9	Y
211	af_ZA	N	Y	-12 345 678,9	-12 345 678,9	N
212	af_ZA	Y	Y	-R12 345 678,900	-R12 345 678,900	N
213	af_ZA	Y	N	-R12 345 678,900	-R12 345 678,900	N
214	af_ZA	N	N	-R12 345 678,900	-12345678.9	Y
215	af_ZA	N	Y	-R12 345 678,900	-12345678.9	Y
216	af_ZA	Y	Y	-12 345 678,900	-12 345 678,900	N
217	af_ZA	Y	N	-12 345 678,900	-12 345 678,900	N
218	af_ZA	N	N	-12 345 678,900	-12345678.9	Y
219	af_ZA	N	Y	-12 345 678,900	-12 345 678,900	N
220	af_ZA	Y	Y	-R12 345 678,90	-12345678.9	Y
221	af_ZA	Y	Y	-R12345678,90	-12345678.9	Y
222	af_ZA	Y	Y	-ZAR12 345 678,90	-12345678.9	Y
223	af_ZA	Y	Y	-ZAR12345678,90	-12345678.9	Y
224	af_ZA	Y	Y	-ZAR12345678,90S	-ZAR12345678,90S	N
225	af_ZA	Y	Y	-12 345 678,90	-12 345 678,90	N
226	af_ZA	Y	N	-12 345 678,90	-12345678.9	Y
227	af_ZA	Y	Y	-R1,23456789E7	-R1,23456789E7	N
228	af_ZA	Y	N	-R1,23456789E7	-R1,23456789E7	N
229	am_ET	Y	Y	ብር0.00	0	Y
230	am_ET	Y	Y	ETB0.00	0	Y
231	am_ET	Y	Y	ETB0.00S	ETB0.00S	N
232	am_ET	Y	Y	0.00	0.00	N
233	am_ET	Y	N	0.00	0	Y
234	am_ET	Y	Y	0E0	0E0	N
235	am_ET	Y	N	0E0	0E0	N
236	am_ET	Y	Y	ብር0E0	ብር0E0	N
237	am_ET	Y	N	ብር0E0	ብር0E0	N
238	am_ET	Y	Y	ብር0.1	ብር0.1	N
239	am_ET	Y	N	ብር0.1	ብር0.1	N
240	am_ET	N	N	ብር0.1	0.1	Y
241	am_ET	N	Y	ብር0.1	0.1	Y
242	am_ET	Y	Y	0.1	0.1	N
243	am_ET	Y	N	0.1	0.1	N
244	am_ET	N	N	0.1	0.1	Y
245	am_ET	N	Y	0.1	0.1	N
246	am_ET	Y	Y	ብር0.100	ብር0.100	N
247	am_ET	Y	N	ብር0.100	ብር0.100	N
248	am_ET	N	N	ብር0.100	0.1	Y
249	am_ET	N	Y	ብር0.100	0.1	Y
250	am_ET	Y	Y	0.100	0.100	N
251	am_ET	Y	N	0.100	0.100	N
252	am_ET	N	N	0.100	0.1	Y
253	am_ET	N	Y	0.100	0.100	N
254	am_ET	Y	Y	ብር0.10	0.1	Y
255	am_ET	Y	Y	ETB0.10	0.1	Y
256	am_ET	Y	Y	ETB0.10S	ETB0.10S	N
257	am_ET	Y	Y	0.10	0.10	N
258	am_ET	Y	N	0.10	0.1	Y
259	am_ET	Y	Y	1E-1	1E-1	N
260	am_ET	Y	N	1E-1	1E-1	N
261	am_ET	Y	Y	ብር1E-1	ብር1E-1	N
262	am_ET	Y	N	ብር1E-1	ብር1E-1	N
263	am_ET	Y	Y	ብር0.0	ብር0.0	N
264	am_ET	Y	N	ብር0.0	ብር0.0	N
265	am_ET	N	N	ብር0.0	0	Y
266	am_ET	N	Y	ብር0.0	0	Y
267	am_ET	Y	Y	0.0	0.0	N
268	am_ET	Y	N	0.0	0.0	N
269	am_ET	N	N	0.0	0	Y
270	am_ET	N	Y	0.0	0.0	N
271	am_ET	Y	Y	ብር0.010	ብር0.010	N
272	am_ET	Y	N	ብር0.010	ብር0.010	N
273	am_ET	N	N	ብር0.010	0.01	Y
274	am_ET	N	Y	ብር0.010	0.01	Y
275	am_ET	Y	Y	0.010	0.010	N
276	am_ET	Y	N	0.010	0.010	N
277	am_ET	N	N	0.010	0.01	Y
278	am_ET	N	Y	0.010	0.010	N
279	am_ET	Y	Y	ብር0.01	0.01	Y
280	am_ET	Y	Y	ETB0.01	0.01	Y
281	am_ET	Y	Y	ETB0.01S	ETB0.01S	N
282	am_ET	Y	Y	0.01	0.01	N
283	am_ET	Y	N	0.01	0.01	Y
284	am_ET	Y	Y	1E-2	1E-2	N
285	am_ET	Y	N	1E-2	1E-2	N
286	am_ET	Y	Y	ብር1E-2	ብር1E-2	N
287	am_ET	Y	N	ብር1E-2	ብር1E-2	N
288	am_ET	Y	Y	ብር1,000.00	1000	Y
289	am_ET	Y	Y	ብር1000.00	1000	Y
290	am_ET	Y	Y	ETB1,000.00	1000	Y
291	am_ET	Y	Y	ETB1000.00	1000	Y
292	am_ET	Y	Y	ETB1000.00S	ETB1000.00S	N
293	am_ET	Y	Y	1,000.00	1,000.00	N
294	am_ET	Y	N	1,000.00	1000	Y
295	am_ET	Y	Y	1E3	1E3	N
296	am_ET	Y	N	1E3	1E3	N
297	am_ET	Y	Y	ብር1E3	ብር1E3	N
298	am_ET	Y	N	ብር1E3	ብር1E3	N
299	am_ET	Y	Y	ብር1,234.6	ብር1,234.6	N
300	am_ET	Y	N	ብር1,234.6	ብር1,234.6	N
301	am_ET	N	N	ብር1,234.6	1234.6	Y
302	am_ET	N	Y	ብር1,234.6	1234.6	Y
303	am_ET	Y	Y	1,234.6	1,234.6	N
304	am_ET	Y	N	1,234.6	1,234.6	N
305	am_ET	N	N	1,234.6	1234.6	Y
306	am_ET	N	Y	1,234.6	1,234.6	N
307	am_ET	Y	Y	ብር1,234.610	ብር1,234.610	N
308	am_ET	Y	N	ብር1,234.610	ብር1,234.610	N
309	am_ET	N	N	ብር1,234.610	1234.61	Y
310	am_ET	N	Y	ብር1,234.610	1234.61	Y
311	am_ET	Y	Y	1,234.610	1,234.610	N
312	am_ET	Y	N	1,234.610	1,234.610	N
313	am_ET	N	N	1,234.610	1234.61	Y
314	am_ET	N	Y	1,234.610	1,234.610	N
315	am_ET	Y	Y	ብር1,234.61	1234.61	Y
316	am_ET	Y	Y	ብር1234.61	1234.61	Y
317	am_ET	Y	Y	ETB1,234.61	1234.61	Y
318	am_ET	Y	Y	ETB1234.61	1234.61	Y
319	am_ET	Y	Y	ETB1234.61S	ETB1234.61S	N
320	am_ET	Y	Y	1,234.61	1,234.61	N
321	am_ET	Y	N	1,234.61	1234.61	Y
322	am_ET	Y	Y	1.23461E3	1.23461E3	N
323	am_ET	Y	N	1.23461E3	1.23461E3	N
324	am_ET	Y	Y	ብር1.23461E3	ብር1.23461E3	N
325	am_ET	Y	N	ብር1.23461E3	ብር1.23461E3	N
326	am_ET	Y	Y	ብር12,345,678.9	ብር12,345,678.9	N
327	am_ET	Y	N	ብር12,345,678.9	ብር12,345,678.9	N
328	am_ET	N	N	ብር12,345,678.9	12345678.9	Y
329	am_ET	N	Y	ብር12,345,678.9	12345678.9	Y
330	am_ET	Y	Y	12,345,678.9	12,345,678.9	N
331	am_ET	Y	N	12,345,678.9	12,345,678.9	N
332	am_ET	N	N	12,345,678.9	12345678.9	Y
333	am_ET	N	Y	12,345,678.9	12,345,678.9	N
334	am_ET	Y	Y	ብር12,345,678.900	ብር12,345,678.900	N
335	am_ET	Y	N	ብር12,345,678.900	ብር12,345,678.900	N
336	am_ET	N	N	ብር12,345,678.900	12345678.9	Y
337	am_ET	N	Y	ብር12,345,678.900	12345678.9	Y
338	am_ET	Y	Y	12,345,678.900	12,345,678.900	N
339	am_ET	Y	N	12,345,678.900	12,345,678.900	N
340	am_ET	N	N	12,345,678.900	12345678.9	Y
341	am_ET	N	Y	12,345,678.900	12,345,678.900	N
342	am_ET	Y	Y	ብር12,345,678.90	12345678.9	Y
343	am_ET	Y	Y	ብር12345678.90	12345678.9	Y
344	am_ET	Y	Y	ETB12,345,678.90	12345678.9	Y
345	am_ET	Y	Y	ETB12345678.90	12345678.9	Y
346	am_ET	Y	Y	ETB12345678.90S	ETB12345678.90S	N
347	am_ET	Y	Y	12,345,678.90	12,345,678.90	N
348	am_ET	Y	N	12,345,678.90	12345678.9	Y
349	am_ET	Y	Y	1.23456789E7	1.23456789E7	N
350	am_ET	Y	N	1.23456789E7	1.23456789E7	N
351	am_ET	Y	Y	ብር1.23456789E7	ብር1.23456789E7	N
352	am_ET	Y	N	ብር1.23456789E7	ብር1.23456789E7	N
353	am_ET	Y	Y	-ብር0.1	-ብር0.1	N
354	am_ET	Y	N	-ብር0.1	-ብር0.1	N
355	am_ET	N	N	-ብር0.1	-0.1	Y
356	am_ET	N	Y	-ብር0.1	-0.1	Y
357	am_ET	Y	Y	-0.1	-0.1	N
358	am_ET	Y	N	-0.1	-0.1	N
359	am_ET	N	N	-0.1	-0.1	Y
360	am_ET	N	Y	-0.1	-0.1	N
361	am_ET	Y	Y	-ብር0.100	-ብር0.100	N
362	am_ET	Y	N	-ብር0.100	-ብር0.100	N
363	am_ET	N	N	-ብር0.100	-0.1	Y
364	am_ET	N	Y	-ብር0.100	-0.1	Y
365	am_ET	Y	Y	-0.100	-0.100	N
366	am_ET	Y	N	-0.100	-0.100	N
367	am_ET	N	N	-0.100	-0.1	Y
368	am_ET	N	Y	-0.100	-0.100	N
369	am_ET	Y	Y	-ብር0.10	-0.1	Y
370	am_ET	Y	Y	-ETB0.10	-0.1	Y
371	am_ET	Y	Y	-ETB0.10S	-ETB0.10S	N
372	am_ET	Y	Y	-0.10	-0.10	N
373	am_ET	Y	N	-0.10	-0.1	Y
374	am_ET	Y	Y	-ብር1E-1	-ብር1E-1	N
375	am_ET	Y	N	-ብር1E-1	-ብር1E-1	N
376	am_ET	Y	Y	-ብር0.0	-ብር0.0	N
377	am_ET	Y	N	-ብር0.0	-ብር0.0	N
378	am_ET	N	N	-ብር0.0	-0	Y
379	am_ET	N	Y	-ብር0.0	-0	Y
380	am_ET	Y	Y	-0.0	-0.0	N
381	am_ET	Y	N	-0.0	-0.0	N
382	am_ET	N	N	-0.0	-0	Y
383	am_ET	N	Y	-0.0	-0.0	N
384	am_ET	Y	Y	-ብር0.010	-ብር0.010	N
385	am_ET	Y	N	-ብር0.010	-ብር0.010	N
386	am_ET	N	N	-ብር0.010	-0.01	Y
387	am_ET	N	Y	-ብር0.010	-0.01	Y
388	am_ET	Y	Y	-0.010	-0.010	N
389	am_ET	Y	N	-0.010	-0.010	N
390	am_ET	N	N	-0.010	-0.01	Y
391	am_ET	N	Y	-0.010	-0.010	N
392	am_ET	Y	Y	-ብር0.01	-0.01	Y
393	am_ET	Y	Y	-ETB0.01	-0.01	Y
394	am_ET	Y	Y	-ETB0.01S	-ETB0.01S	N
395	am_ET	Y	Y	-0.01	-0.01	N
396	am_ET	Y	N	-0.01	-0.01	Y
397	am_ET	Y	Y	-ብር1E-2	-ብር1E-2	N
398	am_ET	Y	N	-ብር1E-2	-ብር1E-2	N
399	am_ET	Y	Y	-ብር1,000.00	-1000	Y
400	am_ET	Y	Y	-ብር1000.00	-1000	Y
401	am_ET	Y	Y	-ETB1,000.00	-1000	Y
402	am_ET	Y	Y	-ETB1000.00	-1000	Y
403	am_ET	Y	Y	-ETB1000.00S	-ETB1000.00S	N
404	am_ET	Y	Y	-1,000.00	-1,000.00	N
405	am_ET	Y	N	-1,000.00	-1000	Y
406	am_ET	Y	Y	-ብር1E3	-ብር1E3	N
407	am_ET	Y	N	-ብር1E3	-ብር1E3	N
408	am_ET	Y	Y	-ብር1,234.6	-ብር1,234.6	N
409	am_ET	Y	N	-ብር1,234.6	-ብር1,234.6	N
410	am_ET	N	N	-ብር1,234.6	-1234.6	Y
411	am_ET	N	Y	-ብር1,234.6	-1234.6	Y
412	am_ET	Y	Y	-1,234.6	-1,234.6	N
413	am_ET	Y	N	-1,234.6	-1,234.6	N
414	am_ET	N	N	-1,234.6	-1234.6	Y
415	am_ET	N	Y	-1,234.6	-1,234.6	N
416	am_ET	Y	Y	-ብር1,234.610	-ብር1,234.610	N
417	am_ET	Y	N	-ብር1,234.610	-ብር1,234.610	N
418	am_ET	N	N	-ብር1,234.610	-1234.61	Y
419	am_ET	N	Y	-ብር1,234.610	-1234.61	Y
420	am_ET	Y	Y	-1,234.610	-1,234.610	N
421	am_ET	Y	N	-1,234.610	-1,234.610	N
422	am_ET	N	N	-1,234.610	-1234.61	Y
423	am_ET	N	Y	-1,234.610	-1,234.610	N
424	am_ET	Y	Y	-ብር1,234.61	-1234.61	Y
425	am_ET	Y	Y	-ብር1234.61	-1234.61	Y
426	am_ET	Y	Y	-ETB1,234.61	-1234.61	Y
427	am_ET	Y	Y	-ETB1234.61	-1234.61	Y
428	am_ET	Y	Y	-ETB1234.61S	-ETB1234.61S	N
429	am_ET	Y	Y	-1,234.61	-1,234.61	N
430	am_ET	Y	N	-1,234.61	-1234.61	Y
431	am_ET	Y	Y	-ብር1.23461E3	-ብር1.23461E3	N
432	am_ET	Y	N	-ብር1.23461E3	-ብር1.23461E3	N
433	am_ET	Y	Y	-ብር12,345,678.9	-ብር12,345,678.9	N
434	am_ET	Y	N	-ብር12,345,678.9	-ብር12,345,678.9	N
435	am_ET	N	N	-ብር12,345,678.9	-12345678.9	Y
436	am_ET	N	Y	-ብር12,345,678.9	-12345678.9	Y
437	am_ET	Y	Y	-12,345,678.9	-12,345,678.9	N
438	am_ET	Y	N	-12,345,678.9	-12,345,678.9	N
439	am_ET	N	N	-12,345,678.9	-12345678.9	Y
440	am_ET	N	Y	-12,345,678.9	-12,345,678.9	N
441	am_ET	Y	Y	-ብር12,345,678.900	-ብር12,345,678.900	N
442	am_ET	Y	N	-ብር12,345,678.900	-ብር12,345,678.900	N
443	am_ET	N	N	-ብር12,345,678.900	-12345678.9	Y
444	am_ET	N	Y	-ብር12,345,678.900	-12345678.9	Y
445	am_ET	Y	Y	-12,345,678.900	-12,345,678.900	N
446	am_ET	Y	N	-12,345,678.900	-12,345,678.900	N
447	am_ET	N	N	-12,345,678.900	-12345678.9	Y
448	am_ET	N	Y	-12,345,678.900	-12,345,678.900	N
449	am_ET	Y	Y	-ብር12,345,678.90	-12345678.9	Y
450	am_ET	Y	Y	-ብር12345678.90	-12345678.9	Y
451	am_ET	Y	Y	-ETB12,345,678.90	-12345678.9	Y
452	am_ET	Y	Y	-ETB12345678.90	-12345678.9	Y
453	am_ET	Y	Y	-ETB12345678.90S	-ETB12345678.90S	N
454	am_ET	Y	Y	-12,345,678.90	-12,345,678.90	N
455	am_ET	Y	N	-12,345,678.90	-12345678.9	Y
456	am_ET	Y	Y	-ብር1.23456789E7	-ብር1.23456789E7	N
457	am_ET	Y	N	-ብር1.23456789E7	-ብር1.23456789E7	N
458	ar_AE	Y	Y	د.إ.‏ ٠٫٠٠	0	Y
459	ar_AE	Y	Y	AED ٠٫٠٠	0	Y
460	ar_AE	Y	Y	AED ٠٫٠٠S	AED ٠٫٠٠S	N
461	ar_AE	Y	Y	 ٠٫٠٠	 ٠٫٠٠	N
462	ar_AE	Y	N	 ٠٫٠٠	0	Y
463	ar_AE	Y	Y	٠اس٠	٠اس٠	N
464	ar_AE	Y	N	٠اس٠	٠اس٠	N
465	ar_AE	Y	Y	د.إ.‏ ٠اس٠	د.إ.‏ ٠اس٠	N
466	ar_AE	Y	N	د.إ.‏ ٠اس٠	د.إ.‏ ٠اس٠	N
467	ar_AE	Y	Y	د.إ.‏ ٠٫١	د.إ.‏ ٠٫١	N
468	ar_AE	Y	N	د.إ.‏ ٠٫١	د.إ.‏ ٠٫١	N
469	ar_AE	N	N	د.إ.‏ ٠٫١	0.1	Y
470	ar_AE	N	Y	د.إ.‏ ٠٫١	0.1	Y
471	ar_AE	Y	Y	٠٫١	٠٫١	N
472	ar_AE	Y	N	٠٫١	٠٫١	N
473	ar_AE	N	N	٠٫١	0.1	Y
474	ar_AE	N	Y	٠٫١	٠٫١	N
475	ar_AE	Y	Y	د.إ.‏ ٠٫١٠٠	د.إ.‏ ٠٫١٠٠	N
476	ar_AE	Y	N	د.إ.‏ ٠٫١٠٠	د.إ.‏ ٠٫١٠٠	N
477	ar_AE	N	N	د.إ.‏ ٠٫١٠٠	0.1	Y
